,frequency,ngram
500,1,adaptations computer
501,1,actual use
502,1,actively supported
503,1,active image
504,1,active answer
505,1,accurately works
506,1,accessibility high
507,1,access source
508,1,access good
509,1,abundant annotations
510,1,absolute dread
