,Work type,Knowledge of computational skills,Comfort,Microscopy for life sciences physical sciences
90,Balanced,Medium skill,Low comfort,Life Sciences
91,Imaging,Medium skill,Low comfort,Life Sciences
92,Imaging,Medium skill,Medium comfort,Life Sciences
93,Balanced,Medium skill,Medium comfort,Life Sciences
94,Balanced,Medium skill,Medium comfort,Life Sciences
95,Balanced,High skill,High comfort,Life Sciences
96,Balanced,Medium skill,Medium comfort,Life Sciences
97,Analyst,High skill,High comfort,Life Sciences
98,Balanced,Medium skill,Medium comfort,Life Sciences
99,Balanced,Low skill,Low comfort,Life Sciences
100,Analyst,Medium skill,Medium comfort,Life Sciences
101,Balanced,High skill,High comfort,Life Sciences
102,Balanced,Medium skill,Medium comfort,Life Sciences
103,Balanced,Medium skill,Medium comfort,Life Sciences
104,Imaging,Medium skill,Medium comfort,Life Sciences
105,Balanced,Medium skill,Medium comfort,Physical Sciences
106,Balanced,High skill,High comfort,Life Sciences
107,Balanced,Medium skill,Medium comfort,Life Sciences
108,Balanced,Medium skill,Medium comfort,Life Sciences
109,Balanced,High skill,High comfort,Physical Sciences
110,Imaging,Medium skill,Low comfort,Life Sciences
111,Analyst,High skill,Medium comfort,Life Sciences
112,Imaging,Medium skill,High comfort,Life Sciences
113,Balanced,Medium skill,Medium comfort,Life Sciences
114,Balanced,Medium skill,Medium comfort,Life Sciences
115,Balanced,High skill,Low comfort,Life Sciences
116,Balanced,Medium skill,Medium comfort,Life Sciences
117,Imaging,High skill,Medium comfort,Life Sciences
118,Balanced,High skill,High comfort,Life Sciences
119,Analyst,Medium skill,Low comfort,Life Sciences
120,Balanced,High skill,High comfort,Life Sciences
121,Analyst,High skill,High comfort,Life Sciences
122,Imaging,High skill,High comfort,Life Sciences
123,Balanced,Medium skill,High comfort,Life Sciences
124,Analyst,Medium skill,High comfort,Life Sciences
125,Balanced,Low skill,Medium comfort,Life Sciences
126,Balanced,Medium skill,Low comfort,Life Sciences
127,Balanced,High skill,High comfort,Life Sciences
128,Imaging,Low skill,Low comfort,Life Sciences
129,Balanced,Medium skill,High comfort,Life Sciences
130,Balanced,High skill,High comfort,Life Sciences
131,Analyst,High skill,High comfort,Life Sciences
132,Balanced,Low skill,Low comfort,Life Sciences
133,Analyst,High skill,High comfort,Life Sciences
134,Balanced,Medium skill,High comfort,Life Sciences
135,Balanced,Low skill,Low comfort,Life Sciences
136,Balanced,Medium skill,Low comfort,Life Sciences
137,Balanced,Medium skill,High comfort,Physical Sciences
138,Imaging,Medium skill,Low comfort,Life Sciences
139,Analyst,High skill,High comfort,Life Sciences
140,Balanced,Low skill,Medium comfort,Life Sciences
141,Balanced,Medium skill,Low comfort,Life Sciences
142,Balanced,Medium skill,Medium comfort,Life Sciences
143,Balanced,Medium skill,High comfort,Life Sciences
144,Balanced,Medium skill,High comfort,Life Sciences
145,Balanced,Medium skill,Medium comfort,Life Sciences
146,Imaging,Medium skill,Medium comfort,Life Sciences
147,Balanced,Medium skill,High comfort,Life Sciences
148,Balanced,Low skill,Low comfort,Life Sciences
149,Analyst,Medium skill,High comfort,Life Sciences
150,Balanced,High skill,High comfort,Life Sciences
151,Balanced,Medium skill,Medium comfort,Life Sciences
152,Balanced,High skill,High comfort,Life Sciences
153,Imaging,High skill,High comfort,Life Sciences
154,Imaging,High skill,High comfort,Life Sciences
155,Analyst,High skill,High comfort,Life Sciences
156,Balanced,Medium skill,Medium comfort,Life Sciences
157,Balanced,Medium skill,High comfort,Life Sciences
158,Imaging,Medium skill,Medium comfort,Life Sciences
159,Analyst,Medium skill,Medium comfort,Life Sciences
160,Imaging,Medium skill,Medium comfort,Life Sciences
161,Balanced,Medium skill,High comfort,Life Sciences
162,Balanced,Medium skill,Medium comfort,Life Sciences
163,Analyst,Medium skill,Medium comfort,Life Sciences
164,Imaging,Medium skill,Medium comfort,Life Sciences
165,Imaging,Medium skill,Medium comfort,Physical Sciences
166,Balanced,Medium skill,High comfort,Life Sciences
167,Analyst,Medium skill,High comfort,Life Sciences
168,Imaging,Low skill,Low comfort,Life Sciences
169,Balanced,Medium skill,Medium comfort,Life Sciences
170,Balanced,High skill,High comfort,Life Sciences
171,Balanced,Low skill,Low comfort,Life Sciences
172,Balanced,Medium skill,Medium comfort,Life Sciences
173,Imaging,Medium skill,Medium comfort,Life Sciences
174,Balanced,High skill,High comfort,Life Sciences
175,Balanced,Medium skill,Medium comfort,Life Sciences
176,Balanced,Medium skill,Medium comfort,Life Sciences
177,Balanced,Medium skill,Low comfort,Life Sciences
178,Balanced,Medium skill,Low comfort,Life Sciences
179,Balanced,Medium skill,Medium comfort,Life Sciences
180,Balanced,Medium skill,Medium comfort,Life Sciences
181,Balanced,Medium skill,High comfort,Life Sciences
182,Balanced,Medium skill,Medium comfort,Life Sciences
183,Balanced,Medium skill,Medium comfort,Life Sciences
184,Balanced,High skill,Medium comfort,Life Sciences
185,Balanced,Medium skill,Medium comfort,Life Sciences
186,Balanced,Medium skill,Medium comfort,Life Sciences
187,Analyst,Medium skill,Low comfort,Life Sciences
188,Imaging,Low skill,Low comfort,Life Sciences
189,Balanced,Medium skill,Medium comfort,Life Sciences
190,Balanced,High skill,Medium comfort,Life Sciences
191,Balanced,Medium skill,Medium comfort,Life Sciences
192,Imaging,Medium skill,Low comfort,Life Sciences
193,Balanced,Medium skill,Low comfort,Life Sciences
194,Balanced,Medium skill,Medium comfort,Life Sciences
195,Balanced,Medium skill,Medium comfort,Life Sciences
196,Balanced,Medium skill,Medium comfort,Life Sciences
197,Balanced,Medium skill,Medium comfort,Life Sciences
198,Imaging,Medium skill,Medium comfort,Life Sciences
199,Balanced,Medium skill,High comfort,Life Sciences
200,Imaging,Medium skill,Medium comfort,Life Sciences
201,Imaging,Medium skill,Low comfort,Life Sciences
202,Balanced,Medium skill,Medium comfort,Life Sciences
203,Balanced,Medium skill,Medium comfort,Life Sciences
204,Balanced,Medium skill,Medium comfort,Life Sciences
205,Balanced,Medium skill,Medium comfort,Life Sciences
206,Balanced,High skill,Medium comfort,Life Sciences
207,Imaging,Medium skill,Medium comfort,Life Sciences
208,Balanced,Low skill,Medium comfort,Life Sciences
209,Balanced,Low skill,Low comfort,Life Sciences
210,Analyst,High skill,High comfort,Life Sciences
211,Balanced,Medium skill,High comfort,Life Sciences
212,Analyst,High skill,Medium comfort,Life Sciences
213,Balanced,Medium skill,High comfort,Life Sciences
214,Analyst,Medium skill,High comfort,Life Sciences
215,Balanced,Medium skill,High comfort,Life Sciences
216,Imaging,Medium skill,Medium comfort,Life Sciences
217,Balanced,Medium skill,Medium comfort,Life Sciences
218,Balanced,High skill,High comfort,Physical Sciences
219,Imaging,Medium skill,Medium comfort,Life Sciences
220,Balanced,Medium skill,Medium comfort,Life Sciences
221,Imaging,Low skill,Low comfort,Life Sciences
222,Balanced,Medium skill,Medium comfort,Life Sciences
223,Imaging,Medium skill,Medium comfort,Life Sciences
224,Imaging,Medium skill,High comfort,Life Sciences
225,Balanced,Low skill,Low comfort,Life Sciences
226,Analyst,Medium skill,Low comfort,Life Sciences
227,Balanced,High skill,Medium comfort,Life Sciences
228,Imaging,Medium skill,Low comfort,Life Sciences
229,Imaging,Medium skill,Medium comfort,Life Sciences
230,Balanced,Medium skill,High comfort,Life Sciences
231,Imaging,Medium skill,Medium comfort,Life Sciences
232,Balanced,High skill,Medium comfort,Life Sciences
233,Analyst,High skill,High comfort,Life Sciences
234,Balanced,Medium skill,High comfort,Life Sciences
235,Balanced,Medium skill,High comfort,Life Sciences
236,Balanced,Medium skill,High comfort,Life Sciences
237,Analyst,Low skill,Medium comfort,Life Sciences
238,Balanced,Medium skill,High comfort,Life Sciences
239,Balanced,High skill,Medium comfort,Life Sciences
240,Analyst,Medium skill,Medium comfort,Life Sciences
241,Balanced,Medium skill,Medium comfort,Life Sciences
242,Balanced,Medium skill,High comfort,Life Sciences
243,Balanced,Low skill,Medium comfort,Life Sciences
244,Balanced,Medium skill,Medium comfort,Life Sciences
245,Balanced,Medium skill,High comfort,Life Sciences
246,Analyst,High skill,High comfort,Life Sciences
247,Balanced,Medium skill,Medium comfort,Life Sciences
248,Balanced,Medium skill,Medium comfort,Physical Sciences
249,Imaging,Medium skill,Low comfort,Life Sciences
250,Balanced,Medium skill,Medium comfort,Life Sciences
251,Balanced,Medium skill,Medium comfort,Life Sciences
252,Balanced,Medium skill,Medium comfort,Life Sciences
253,Balanced,Medium skill,Medium comfort,Life Sciences
254,Balanced,Low skill,Medium comfort,Life Sciences
255,Balanced,Medium skill,Medium comfort,Life Sciences
256,Imaging,Medium skill,Medium comfort,Life Sciences
257,Balanced,High skill,High comfort,Life Sciences
258,Imaging,Medium skill,Medium comfort,Life Sciences
259,Balanced,Medium skill,High comfort,Physical Sciences
260,Analyst,High skill,Medium comfort,Life Sciences
261,Imaging,Medium skill,Medium comfort,Physical Sciences
262,Balanced,Medium skill,High comfort,Life Sciences
263,Balanced,Medium skill,High comfort,Life Sciences
264,Balanced,High skill,Medium comfort,Life Sciences
265,Analyst,Medium skill,Medium comfort,Life Sciences
266,Balanced,High skill,High comfort,Life Sciences
267,Balanced,Medium skill,High comfort,Physical Sciences
268,Balanced,High skill,High comfort,Life Sciences
269,Imaging,High skill,High comfort,Life Sciences
270,Imaging,High skill,Medium comfort,Life Sciences
271,Balanced,Medium skill,Medium comfort,Life Sciences
272,Imaging,Medium skill,High comfort,Life Sciences
273,Analyst,High skill,High comfort,Life Sciences
274,Balanced,Low skill,Medium comfort,Life Sciences
275,Analyst,High skill,High comfort,Life Sciences
276,Analyst,Medium skill,High comfort,Life Sciences
277,Imaging,High skill,High comfort,Life Sciences
278,Balanced,Medium skill,Medium comfort,Life Sciences
279,Balanced,Low skill,Low comfort,Life Sciences
280,Balanced,Medium skill,High comfort,Life Sciences
281,Balanced,Medium skill,Medium comfort,Life Sciences
282,Imaging,Medium skill,Medium comfort,Life Sciences
283,,,,
284,Balanced,Low skill,Medium comfort,Life Sciences
285,Balanced,Medium skill,Medium comfort,Life Sciences
286,Balanced,Medium skill,Medium comfort,Physical Sciences
287,Balanced,Medium skill,Medium comfort,Life Sciences
288,Balanced,Medium skill,Medium comfort,Life Sciences
289,Analyst,High skill,High comfort,Life Sciences
290,Balanced,Low skill,High comfort,Life Sciences
291,Balanced,Low skill,Medium comfort,Life Sciences
292,Balanced,Medium skill,Low comfort,Life Sciences
293,Imaging,Medium skill,Medium comfort,Life Sciences
294,Balanced,High skill,High comfort,Life Sciences
295,Imaging,Medium skill,Low comfort,Life Sciences
296,Balanced,Medium skill,Medium comfort,Life Sciences
297,Imaging,Low skill,Low comfort,Life Sciences
298,Balanced,Medium skill,Medium comfort,Life Sciences
299,Analyst,High skill,High comfort,Life Sciences
300,Balanced,Medium skill,Medium comfort,Life Sciences
301,Balanced,Medium skill,Medium comfort,Life Sciences
302,Balanced,High skill,High comfort,Life Sciences
303,Analyst,High skill,High comfort,Life Sciences
304,Balanced,Medium skill,Medium comfort,Life Sciences
305,Balanced,Medium skill,Medium comfort,Life Sciences
306,Balanced,Medium skill,Medium comfort,Life Sciences
307,Imaging,Medium skill,Low comfort,Life Sciences
308,Balanced,Medium skill,Medium comfort,Life Sciences
309,Balanced,Medium skill,High comfort,Life Sciences
310,Balanced,Medium skill,Low comfort,Life Sciences
311,Balanced,Medium skill,Low comfort,Life Sciences
312,Balanced,Medium skill,Medium comfort,Life Sciences
313,Imaging,Medium skill,Medium comfort,Life Sciences
314,Balanced,Low skill,High comfort,Life Sciences
315,Balanced,Medium skill,Medium comfort,Life Sciences
316,Balanced,Medium skill,High comfort,Life Sciences
317,Balanced,Medium skill,Medium comfort,Life Sciences
318,Balanced,Medium skill,Medium comfort,Life Sciences
319,Balanced,Medium skill,Medium comfort,Physical Sciences
320,Balanced,Medium skill,Medium comfort,Life Sciences
321,Balanced,High skill,High comfort,Life Sciences
322,Balanced,Medium skill,Low comfort,Life Sciences
323,Balanced,Low skill,Medium comfort,Life Sciences
324,Balanced,Medium skill,Medium comfort,Life Sciences
325,Balanced,Medium skill,Low comfort,Life Sciences
326,Balanced,Medium skill,Medium comfort,Life Sciences
327,Balanced,Medium skill,Medium comfort,Life Sciences
328,Balanced,Low skill,Medium comfort,Life Sciences
329,Balanced,Medium skill,Low comfort,Life Sciences
330,Balanced,Low skill,Medium comfort,Life Sciences
331,Balanced,Medium skill,Low comfort,Life Sciences
332,Balanced,Medium skill,Medium comfort,Life Sciences
333,Balanced,Medium skill,Medium comfort,Life Sciences
334,Balanced,Medium skill,Medium comfort,Life Sciences
335,Imaging,Medium skill,Medium comfort,Life Sciences
336,Balanced,Medium skill,Medium comfort,Life Sciences
337,Balanced,Low skill,Low comfort,Life Sciences
338,Balanced,Medium skill,Medium comfort,Life Sciences
339,Balanced,Medium skill,High comfort,Life Sciences
340,Balanced,Medium skill,Medium comfort,Life Sciences
341,Balanced,Medium skill,Medium comfort,Life Sciences
342,Imaging,Low skill,Low comfort,Life Sciences
343,Balanced,Medium skill,High comfort,Life Sciences
344,Balanced,Medium skill,Medium comfort,Life Sciences
345,Imaging,Medium skill,High comfort,Life Sciences
346,Balanced,Medium skill,Low comfort,Life Sciences
347,Balanced,High skill,Medium comfort,Life Sciences
348,Balanced,Medium skill,Medium comfort,Life Sciences
349,Balanced,High skill,High comfort,Life Sciences
350,Balanced,Low skill,Low comfort,Life Sciences
351,Balanced,Low skill,Low comfort,Life Sciences
352,Balanced,Low skill,Low comfort,Life Sciences
353,Balanced,Medium skill,Medium comfort,Life Sciences
354,Balanced,Medium skill,Medium comfort,Life Sciences
355,Imaging,Medium skill,Low comfort,Life Sciences
356,Balanced,Low skill,Medium comfort,Life Sciences
357,Balanced,Low skill,Low comfort,Life Sciences
358,Balanced,Medium skill,Medium comfort,Physical Sciences
359,Imaging,Low skill,High comfort,Life Sciences
360,Analyst,Medium skill,Medium comfort,Life Sciences
361,Imaging,Medium skill,Medium comfort,Life Sciences
362,Balanced,High skill,Medium comfort,Life Sciences
363,Analyst,Medium skill,High comfort,Life Sciences
364,Imaging,Low skill,Medium comfort,Life Sciences
365,Imaging,Medium skill,High comfort,Life Sciences
366,Imaging,Low skill,Low comfort,Life Sciences
367,Balanced,Medium skill,Medium comfort,Life Sciences
368,Balanced,Medium skill,Medium comfort,Life Sciences
369,Balanced,Medium skill,Medium comfort,Life Sciences
370,Balanced,Medium skill,High comfort,Life Sciences
371,Balanced,Medium skill,Medium comfort,Physical Sciences
372,Balanced,Low skill,Medium comfort,Life Sciences
373,Balanced,Medium skill,Medium comfort,Life Sciences
374,Balanced,Medium skill,Medium comfort,Life Sciences
375,Imaging,Medium skill,Medium comfort,Life Sciences
376,Balanced,Medium skill,High comfort,Life Sciences
377,Balanced,High skill,High comfort,Life Sciences
378,Balanced,Medium skill,Medium comfort,Life Sciences
379,Balanced,High skill,High comfort,Life Sciences
380,Balanced,Medium skill,Medium comfort,Life Sciences
381,Balanced,Medium skill,High comfort,Physical Sciences
382,Imaging,Medium skill,Low comfort,Life Sciences
383,Balanced,Medium skill,High comfort,Life Sciences
384,Balanced,Low skill,Low comfort,Life Sciences
385,Analyst,Low skill,Medium comfort,Life Sciences
386,Balanced,Low skill,Medium comfort,Life Sciences
387,Balanced,Medium skill,Medium comfort,Life Sciences
388,Balanced,High skill,High comfort,Life Sciences
389,Balanced,High skill,High comfort,Physical Sciences
390,Balanced,Medium skill,Medium comfort,Life Sciences
391,Balanced,Medium skill,Medium comfort,Life Sciences
392,Balanced,Medium skill,High comfort,Life Sciences
393,Balanced,High skill,High comfort,Life Sciences
394,Balanced,Medium skill,High comfort,Life Sciences
395,Balanced,Medium skill,High comfort,Physical Sciences
396,Balanced,Medium skill,Medium comfort,Life Sciences
397,Analyst,Low skill,Low comfort,Life Sciences
398,Balanced,Medium skill,High comfort,Life Sciences
399,Imaging,Medium skill,Low comfort,Life Sciences
400,Balanced,Medium skill,Medium comfort,Life Sciences
401,Analyst,Medium skill,High comfort,Life Sciences
402,Balanced,High skill,Medium comfort,Life Sciences
403,Imaging,Low skill,High comfort,Life Sciences
404,Analyst,Medium skill,High comfort,Life Sciences
405,Analyst,High skill,Medium comfort,Life Sciences
406,Imaging,Low skill,Low comfort,Life Sciences
407,Balanced,Medium skill,High comfort,Life Sciences
408,Analyst,High skill,High comfort,Life Sciences
409,Analyst,Medium skill,Medium comfort,Physical Sciences
410,Analyst,High skill,High comfort,Life Sciences
411,Balanced,Low skill,Medium comfort,Life Sciences
412,Balanced,Medium skill,High comfort,Life Sciences
413,Analyst,Medium skill,Medium comfort,Life Sciences
414,Balanced,High skill,High comfort,Life Sciences
415,Balanced,Medium skill,Low comfort,Life Sciences
416,Balanced,Medium skill,High comfort,Life Sciences
417,Balanced,Medium skill,High comfort,Life Sciences
418,Balanced,Medium skill,Medium comfort,Life Sciences
419,Balanced,Medium skill,Medium comfort,Life Sciences
420,Analyst,Medium skill,Medium comfort,Life Sciences
421,Balanced,Medium skill,High comfort,Life Sciences
422,Balanced,Medium skill,High comfort,Life Sciences
423,Balanced,Medium skill,Medium comfort,Life Sciences
424,Balanced,High skill,High comfort,Life Sciences
425,Balanced,Medium skill,High comfort,Life Sciences
426,Balanced,High skill,Medium comfort,Life Sciences
427,Balanced,Medium skill,High comfort,Life Sciences
428,Balanced,Low skill,High comfort,Life Sciences
429,Imaging,Low skill,Medium comfort,Life Sciences
430,Balanced,Medium skill,Medium comfort,Life Sciences
431,Balanced,High skill,High comfort,Life Sciences
432,Analyst,High skill,High comfort,Physical Sciences
433,Analyst,High skill,High comfort,Life Sciences
434,Analyst,Medium skill,Medium comfort,Life Sciences
435,Balanced,Medium skill,Medium comfort,Life Sciences
436,Balanced,Low skill,Medium comfort,Life Sciences
437,Balanced,Medium skill,High comfort,Life Sciences
438,Balanced,Medium skill,Medium comfort,Life Sciences
439,Analyst,Low skill,Medium comfort,Life Sciences
440,Balanced,Medium skill,High comfort,Life Sciences
441,Balanced,Medium skill,Medium comfort,Physical Sciences
442,Balanced,Medium skill,High comfort,Life Sciences
443,Imaging,Medium skill,Medium comfort,Life Sciences
444,Balanced,Medium skill,High comfort,Physical Sciences
445,Analyst,High skill,High comfort,Life Sciences
446,Imaging,Low skill,Medium comfort,Life Sciences
447,Analyst,Low skill,High comfort,Life Sciences
448,Balanced,Medium skill,High comfort,Life Sciences
449,Analyst,High skill,High comfort,Life Sciences
450,Imaging,Medium skill,Medium comfort,Life Sciences
451,Balanced,Medium skill,High comfort,Life Sciences
452,Imaging,Low skill,Medium comfort,Life Sciences
453,Balanced,Low skill,Medium comfort,Life Sciences
454,Balanced,Medium skill,High comfort,Life Sciences
455,Analyst,High skill,High comfort,Life Sciences
456,Balanced,Low skill,Low comfort,Life Sciences
457,Analyst,High skill,High comfort,Life Sciences
458,Analyst,Medium skill,High comfort,Physical Sciences
459,Balanced,Medium skill,Medium comfort,Life Sciences
460,Balanced,Medium skill,High comfort,Life Sciences
461,Imaging,Low skill,Medium comfort,Life Sciences
462,Analyst,Medium skill,Medium comfort,Life Sciences
463,Imaging,Medium skill,Medium comfort,Life Sciences
464,Balanced,Medium skill,High comfort,Physical Sciences
465,Analyst,High skill,High comfort,Life Sciences
466,Imaging,Medium skill,Medium comfort,Life Sciences
467,Analyst,High skill,High comfort,Life Sciences
468,Balanced,Medium skill,Medium comfort,Physical Sciences
469,Balanced,Medium skill,Low comfort,Life Sciences
470,Imaging,Medium skill,Medium comfort,Life Sciences
471,Imaging,Medium skill,Medium comfort,Life Sciences
472,Analyst,High skill,Medium comfort,Life Sciences
473,Balanced,Medium skill,Medium comfort,Physical Sciences
474,Balanced,Medium skill,Medium comfort,Physical Sciences
475,Imaging,Medium skill,Medium comfort,Life Sciences
476,Analyst,High skill,High comfort,Life Sciences
477,Analyst,High skill,High comfort,Life Sciences
478,Imaging,Medium skill,Medium comfort,Life Sciences
479,Balanced,Low skill,Medium comfort,Life Sciences
480,Balanced,Medium skill,Medium comfort,Physical Sciences
481,Balanced,Low skill,Low comfort,Life Sciences
482,Balanced,Medium skill,Medium comfort,Life Sciences
483,Balanced,Medium skill,Medium comfort,Life Sciences
484,Analyst,Medium skill,Medium comfort,Physical Sciences
485,Balanced,Medium skill,High comfort,Life Sciences
486,Balanced,Medium skill,Medium comfort,Life Sciences
487,Analyst,Medium skill,High comfort,Life Sciences
488,Balanced,Low skill,Medium comfort,Life Sciences
489,Imaging,Low skill,Low comfort,Life Sciences
490,Balanced,Medium skill,High comfort,Life Sciences
491,Balanced,High skill,High comfort,Life Sciences
492,Imaging,Medium skill,Medium comfort,Life Sciences
493,Balanced,Medium skill,High comfort,Life Sciences
