,Timestamp,I agree to these terms and conditions,Role,Training,Location,Work description,Level of computational skills,Comfort in developing computational skills,Approach to solutions,Frequency of script usage,Best practices articles,Written tutorials,Video tutorial,Interactive webinar,Office hours,One day seminar,Multiday workshop,Image analysis theory,Image analysis practices,Topics related to sub discipline,Specific software tool,Deep learning for image analysis,Analyzing large images,Visualization of results,Microscopy for life sciences physical sciences,Commonly used image analysis tools,Most used image analysis tools,Brightfield/DIC/phase-contrast manually acquired,Brightfield/DIC/phase-contrast automated,Fluorescent images manually acquired,Fluorescent images automated,Histological tissue sections,Electron microscopy,Imaging mass spectrometry,Imaging flow cytometry,Superresolution (PALM/STORM),Autofluorescence imaging (ie FLIM),Other,Well solved image analysis problems,Image analysis problems which needs better solutions,What image analysis tools have you used before? (check all that apply).1,What image analysis tools do you use the most?.1,Optical microscopy/DIC/fractography,Scanning electron microscopy,Transmission electron microscopy,Spectroscopy/diffractive imaging in the SEM/TEM,Imaging with mass spectrometry,X-ray microscopy,Atomic force microscopy,Fluorescence microscopy,Other,Well solved image analysis problems-physical sciences,Image analysis problems which needs better solutions physical sciences,hear about this survey,Previous experience,Number of conferences/workshops attended,Notification of image analysis workshop,Experience with previous workshops/conferences,Recommended conferences/workshops,Topics of interest,Creators role,Users role,Other thoughts,Subscription,Imaging,Balanced,Analyst,Work type,Knowledge of computational skills,Comfort
10,5/6/2022 10:43,Yes,Postdoctoral fellow,"Cell/Molecular Biology, Developmental Biology, Computer science",Europe,6.0,5.0,5.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Moderately preferable,Very preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D + time,,"3D + time, 3D (SPIM/large volume), 3D large volume + time",,"2D + time, 3D (<3000x3000x100)",,,,,,,,segmentation validation practices are still widely lacking,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Twitter,"At the I2K conference, the interaction with others is outstanding. This benefits collaboration and use of tools in the long run.",Many biology/medicine focused conferences would benefit from a more analytical presence. ,"I think general image analysis workshops are lacking and sometimes the offers are ""too specific/niche/specialized"" which might be off putting for new attendees.","Personally, I'd suggest more financial and time support for creators to produce step-by-step guides, use cases, videos, webinars etc","Users could contribute to step-by-step guides, use cases, videos, webinars etc, but from a user perspective. Also, it is invaluable to see data analysis workflows applied to new data - so users sharing their data and testing workflows on their data is incredibly useful.",,Yes,False,False,True,Analyst,Medium skill,Medium comfort
11,5/6/2022 10:57,Yes,Facility staff,Developmental Biology,North America,5.0,3.0,7.0,Look up solutions generally on the internet (Google),Sometimes,Moderately preferable,Very preferable,Somewhat preferable,Moderately preferable,Not at all preferable,Very preferable,Somewhat preferable,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Other commercial software (Imaris, Volocity, etc)",,,3D large volume + time,,,,,,,,,Finding nuclei,Segmenting filamentous structures,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,Workshop/tutorial on imaging or image analysis,Many,Postings on image.sc forum or microforum,,,Image analysis theory,Better tutorials ,,,Yes,False,True,False,Balanced,Medium skill,High comfort
12,5/6/2022 11:10,Yes,Image/data analyst,Cell/Molecular Biology,Europe,6.0,5.0,5.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Somewhat preferable,Very preferable,Very preferable,Very preferable,Somewhat preferable,Somewhat preferable,Moderately preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","3D (<3000x3000x100), 3D + time",,"3D (<3000x3000x100), 3D + time",,2D,,,,,,,well separated objects of non varying intensity ,not well separated objects of varying intensity ,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Postings on image.sc forum or microforum,NEUBIAS Academy due to the variety of topics covered,ELMI,,,Being asked about the reproducible way of analyzing their images in submitting papers.,,Yes,False,False,True,Analyst,Medium skill,Medium comfort
13,5/6/2022 11:46,Yes,Postdoctoral fellow,Cell/Molecular Biology,North America,3.0,5.0,6.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google)",Often,Very preferable,Very preferable,Not at all preferable,Not at all preferable,Not at all preferable,Moderately preferable,Not at all preferable,Very interested,Moderately interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","3D (<3000x3000x100), 3D + time",,"2D, 3D (<3000x3000x100)",,,2D,,,3D (<3000x3000x100),,,cluster analysis in STORM,denoise in STORM,,,,,,,,,,,,,,Word of mouth,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Some,Twitter,None,ASCB,comparisons between pieces of software,"Please create better GUI in open-source software. It is still not competitive than commercial ones in this regard. Also optimize for for large data sets,.",,,Yes,False,True,False,Balanced,Medium skill,High comfort
14,5/6/2022 12:08,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Statistics/Biostatistics, Computer science",Europe,6.0,6.0,6.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Often,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Not at all preferable,Somewhat preferable,Not at all preferable,Somewhat interested,Moderately interested,Somewhat interested,Somewhat interested,Moderately interested,Very interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,2D,2D,,,,,,,,,,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Twitter,"Community event, hands-on hackathon",,,,,,No,False,False,True,Analyst,High skill,High comfort
15,5/6/2022 13:18,Yes,Image/data analyst,Cell/Molecular Biology,Europe,7.0,6.0,6.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions in the scientific literature",Most of the time,Somewhat preferable,Very preferable,Very preferable,Somewhat preferable,Not at all preferable,Not at all preferable,Not at all preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","2D, 2D + time",,"2D, 2D + time, 3D (<3000x3000x100), 3D + time","2D, 2D + time",2D,,,,,,,nuclei segmentation,"dense cell segmentation 2D/3D, filament segmentation 3D",,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Postings on image.sc forum or microforum,Simple explanation of the background algorithms,,,Find a common way communicating to users not experienced in programming or algorithms (simple language),Give constructive feedback to the forum and developers,,No,False,False,True,Analyst,High skill,High comfort
16,5/6/2022 14:09,Yes,Facility director,"Physics/Biophysics, Cell/Molecular Biology, Computer science, Computer vision",Europe,7.0,6.0,7.0,Sit down with a tool I know and start playing with the data,Most of the time,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Very preferable,Somewhat preferable,Somewhat preferable,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",2D + time,2D + time,"3D (<3000x3000x100), 3D + time, 3D large volume + time",2D + time,2D,,,,,,,,,,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Postings on image.sc forum or microforum, Twitter","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Postings on image.sc forum or microforum,,,,,,,No,False,False,True,Analyst,High skill,High comfort
17,5/6/2022 14:33,Yes,Postdoctoral fellow,Cell/Molecular Biology,Europe,5.0,4.0,2.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Sometimes,Moderately preferable,Moderately preferable,Very preferable,Moderately preferable,Very preferable,Somewhat preferable,Somewhat preferable,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,3D (<3000x3000x100),,3D (<3000x3000x100),,,,,,,molecule detection,time-consuming tasks into train the algorithms,,,,,,,,,,,,,,Postings on image.sc forum or microforum,,None,Email list,no,no,,Softwares based in machine learning  that do not require high programming skills,,,Yes,False,True,False,Balanced,Medium skill,Low comfort
18,5/6/2022 15:16,Yes,Undergraduate/Graduate student,"Medicine, Deep learning",North America,6.0,7.0,7.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google)",Most of the time,Moderately preferable,Moderately preferable,Somewhat preferable,Not at all preferable,Somewhat preferable,Not at all preferable,Moderately preferable,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,2D,,2D,,,,,,,,,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,Conference session on imaging or image analysis,None,Postings on image.sc forum or microforum,,,,,,,No,False,False,True,Analyst,High skill,High comfort
19,5/6/2022 15:22,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Developmental Biology",Europe,6.0,4.0,5.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Somewhat preferable,Moderately preferable,Very preferable,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Very interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"3D (SPIM/large volume), 3D large volume + time",,3D (<3000x3000x100),,,,,,,,Segmentation of dense and diversely shaped nuclei,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Few,Twitter,,,AI/DL approaches for segmentation,"""idiot-proof"" code/notebooks with over-abundant annotations",Staying up to date with current techniques. Showcasing possibilities and use-cases.,,Yes,False,False,True,Analyst,Medium skill,Medium comfort
20,5/6/2022 15:33,Yes,Image/data analyst,"Medicine, Statistics/Biostatistics, Computer science, Computer vision, Deep learning",North America,7.0,7.0,7.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Very preferable,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Not at all interested,Somewhat interested,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,,,,,,,,,,cell and nuclei segmentation,,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,Neubias,,,,,,No,False,False,True,Analyst,High skill,High comfort
21,5/6/2022 15:37,Yes,Image/data analyst,"Cell/Molecular Biology, Statistics/Biostatistics",Europe,6.0,5.0,5.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Often,Somewhat preferable,Very preferable,Not at all preferable,Somewhat preferable,Moderately preferable,Moderately preferable,Not at all preferable,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"2D, 2D + time, 3D (<3000x3000x100), 3D + time","2D, 2D + time",,,,,"2D, 3D (<3000x3000x100)",,,segmentation of fluorescently-labelled nuclei,segmentation of objects in EM images,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Postings on image.sc forum or microforum,,,,,,,No,False,False,True,Analyst,Medium skill,Medium comfort
22,5/6/2022 15:37,Yes,Facility staff,"Cell/Molecular Biology, Statistics/Biostatistics, Computer science, Computer vision, Deep learning",North America,7.0,5.0,6.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D, 2D + time, 3D (<3000x3000x100), 3D + time","2D, 2D + time",,,,,,,,"Finding nuclei, finding cells","Organelle segmentation, tracking",,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Twitter,,,,Better documentation,"Basic image analysis training, understanding of fundamental theory",,No,False,False,True,Analyst,Medium skill,High comfort
