,Recommended conferences/workshops
199,
200,
201,
202,
203,
204,
205,
206,"EMBO Seeing is Believing, lightsheet microscopy conferences (LSFM)"
207,
208,
209,
210,
211,
212,only attended of image analysis/ microscopy
213,ELMI
214,
215,No. The field needs to improve it's user friendly-ness. 
216,
217,"Yes, ELMI"
218,
219,MMC; 
220,
221,
222,
223,
224,
225,this wasn't on offer at any meeting I've attended yet. 
226,
227,
228,
229,ABRF
230,No
231,
232,
233,"Lighst sheet microscopy conference (but I attended in 2014, so long time ago...)"
234,
235,Not sure
236,no
237,
238,
239,"Segmentation of real images with advanced concepts, not just thresholding"
240,
241,
242,
243,no
244,
245,
246,
247,"M&M, Zeiss CLEM."
248,
249,
250,ASCB
251,
252,"The AQLM course at the MBL in Woods Hole is top notch, fantastic instructors and cutting-edge equipment, and we collected amazing images but the analysis portion of it was lacking. "
253,ISAC 
254,
255,
256,any microscopy conference should have a dedicated image analysis session
257,Cyto
258,
259,"AVS, SIMS"
260,none
261,
262,Yes. Digital pathology and AI congress. Though this seems more geared towards clinicians and pathologists rather than 'basic research'
263,
264,
265,"Many commercial shows: The Battery Show, Ceramics Expo, TMS, ASBMR, Neuroscience"
266,Yes. The meetings of the Pathological Society of GB and I
267,"Yes, "
268,"Evolutionary Developmental Biology, Society for the study of evolution"
269,
270,
271,
272,have not attended
273,
274,No
275,
276,"Honestly, I think every biology conference could benefit from this, especially just in getting the researchers to actively think about alternative imaging/analysis approaches that might be more applicable for their research"
277,
278,
279,
280,No
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,ELMI
293,
294,
295,
296,
297,
298,
299,
300,no
301,
302,American Society for Cell Biology (ASCB)
303,"Summer Biomechanics, Bioengineering, and Biotransport Conference"
304,
305,
306,
307,Neubias conferences
308,
309,
310,
311,NEUBIAS
312,
313,
314,Spatial/3D-oriented conferences in general - I think large spatial data is particularly challenging
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,"Imaging conferences not always accessible for scientists of all disciplines (funding reasons, unis unwilling to pay attendance if you’re project isn’t an imaging topic). Online retranscription or video repository would be nice "
329,
330,No
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,Large society conferences like ASM or ARVO could have an imaging workshop session to address challenges in specific biological systems
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,ASM Microbe
356,
357,
358,
359,
360,
361,Yes
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,"Society of Toxicology Pathology, American College of Veterinary Pathology"
377,"Probably every conference, but it's a big investment for any lab to do it well."
378,"no, I don't think there is a lack of awareness in any of the fields that already operate with image analysis methods"
379,Pretty much any cell biology conference
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,ASCB
392,
393,
394,
395,MMC
396,British Society for Developmental Biology Annual Spring Conference
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,Yes
410,"MMC in Manchester, maybe?"
411,
412,
413,
414,
415,
416,ABRF
417,
418,ASCB and SFN
419,
420,
421,
422,
423,
424,
425,
426,
427,"I had attended a 10-day workshop called Image2Numbers by JNCASR. Even though the techniques taught were useful, the codes associated with it were a little difficult to understand."
428,No
429,Any cell biology conference would
430,
431,
432,"M&M, MRS"
433,
434,American Biophysical Society
435,
436,
437,
438,
439,
440,
441,Workshops at M&M
442,
443,Yes
444,Needs something new
445,
446,Microscience Microscopy Congress (MMC run by RMS)
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,"At any scientific conference, if you listen to reports, you can learn something new."
459,
460,
461,Microscopy and Microanalysis
462,Expansion of image analysis offerings at ABRF
463,
464,"M&M already has, but APS annual meetings, MRS meetings would highly benefit."
465,None
466,
467,
468,
469,
470,
471,
472,
473,
474,EMAG & Microscience
475,none attended
476,
477,
478,
479,
480,
481,
482,-
483,
484,
485,No
486,
487,
488,FOM _ offering hands on tutorials; QBI offers tutorials but they are at the end of the day of a very packed schedule thus not very useful as our brains are already overwhelmed. Would be useful to actually offer more dedicated sessions in the mornings.
489,
490,ASCB
491,MICCAI
492,
493,
